¿¬¿øÀÏ,½ÃºÐÃÊ,¿Âµµ,½Àµµ,°­¼ö·®,Ç³Çâ
2023-12-11,16-10-05,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-10-06,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-10-08,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-10-09,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-10-10,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-10-11,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-10-13,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-10-14,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-10-15,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-10-16,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-10-18,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-10-19,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-10-20,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-10-21,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-10-22,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-10-24,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-10-25,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-10-26,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-10-27,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-10-29,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-10-30,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-10-31,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-10-32,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-10-34,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-10-35,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-10-36,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-10-37,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-10-39,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-10-40,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-10-41,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-10-42,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-10-43,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-10-45,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-10-46,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-10-47,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-10-48,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-10-50,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-10-51,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-10-52,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-10-53,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-10-55,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-10-56,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-10-57,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-10-58,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-10-59,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-11-01,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-11-02,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-11-03,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-11-04,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-11-06,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-11-07,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-11-08,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-11-09,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-11-11,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-11-12,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-11-13,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-11-14,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-11-15,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-11-17,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-11-18,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-11-19,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-11-20,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-11-22,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-11-23,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-11-24,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-11-25,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-11-27,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-11-28,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-11-29,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-11-30,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-11-32,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-11-33,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-11-34,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-11-35,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-11-37,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-11-38,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-11-39,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-11-40,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-11-41,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-11-43,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-11-44,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-11-45,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-11-46,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-11-48,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-11-49,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-11-50,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-11-51,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-11-53,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-11-54,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-11-55,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-11-56,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-11-57,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-11-59,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-12-00,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-12-01,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-12-02,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-12-04,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-12-05,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-12-06,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-12-07,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-12-09,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-12-10,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-12-11,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-12-12,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-12-13,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-12-15,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-12-16,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-12-17,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-12-18,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-12-20,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-12-21,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-12-22,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-12-23,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-12-25,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-12-26,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-12-27,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-12-28,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-12-30,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-12-31,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-12-32,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-12-33,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-12-34,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-12-36,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-12-37,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-12-38,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-12-39,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-12-41,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-12-42,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-12-43,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-12-44,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-12-46,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-12-47,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-12-48,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-12-49,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-12-50,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-12-52,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-12-53,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-12-54,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-12-55,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-12-57,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-12-58,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-12-59,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-13-00,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-13-01,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-13-03,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-13-04,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-13-05,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-13-06,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-13-08,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-13-09,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-13-10,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-13-11,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-13-13,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-13-14,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-13-15,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-13-16,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-13-17,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-13-19,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-13-20,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-13-21,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-13-22,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-13-24,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-13-25,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-13-26,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-13-27,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-13-29,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-13-30,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
2023-12-11,16-13-31,14¡É,½Àµµ89%,°­¼ö·®25.5mm,Ç³Çâ ºÏµ¿ 2.7 m/s
