책이름,저자,출판사,출간일,가격
이만큼 가까이,정세랑,창비,2021년 08월,"12,600"
아라의 소설,정세랑,안온북스,2022년 08월,"13,500"
나를 찾지 마,김범,클레이하우스,2023년 05월,"15,030"
불장난,손보미,문학사상,2022년 01월,"13,950"
내 심장을 쏴라,정유정,은행나무,2009년 04월,"10,800"
"거기, 내가 가면 안 돼요?",이금이,사계절,2017년 07월,"13,500"
관촌수필,이문구,문학과지성사,2018년 09월,"13,500"
"땡스 갓, 잇츠 프라이데이",심너울,안전가옥,2020년 01월,"9,000"
믿음에 대하여,박상영,문학동네,2022년 07월,"13,050"
퇴마록 국내편 2,이우혁,엘릭시르,2011년 09월,"15,300"
별일은 없고요?,이주란,한겨레출판,2023년 04월,"13,500"
너무 한낮의 연애,김금희,문학동네,2016년 05월,"12,600"
아무도 모를 것이다,정보라,퍼플레인(갈매나무),2023년 01월,"15,300"
노량,박은우,고즈넉이엔티,2023년 11월,"15,300"
마당 깊은 집,김원일,문학과지성사,2018년 09월,"14,400"
공방의 계절,연소민,모요사,2023년 03월,"14,400"
서울 1964년 겨울,김승옥,문학과지성사,2019년 09월,"15,300"
습기,마태,해피북스투유,2023년 09월,"15,120"
고구려 6,김진명,이타북스,2021년 06월,"14,220"
파괴자들의 밤 ,서미애,안전가옥,2023년 06월,"14,400"
안녕 주정뱅이,권여선,창비,2016년 05월,"12,150"
아버지에게 갔었어,신경숙,창비,2021년 03월,"12,600"
밤의 여행자들,윤고은,민음사,2013년 10월,"12,600"
황만근은 이렇게 말했다,성석제,창비,2002년 06월,"12,600"
미래의 조각,정영수,현대문학,2023년 12월,"13,500"
계속해보겠습니다,황정은,창비,2014년 10월,"12,150"
함께 걷는 소설 ,백수린,창비교육,2023년 04월,"15,300"
그걸 왜 이제 얘기해,봉부아,자상한시간,2023년 12월,"15,120"
물 만난 물고기,이찬혁,수카,2019년 09월,"13,500"
"달려라, 아비",김애란,창비,2019년 09월,"13,500"
제주도우다 2,현기영,창비,2023년 07월,"15,300"
못 먹는 남자,정해연,엘릭시르,2023년 08월,"14,220"
프리즘,손원평,은행나무,2020년 09월,"12,150"
검은 꽃,김영하,문학동네,2020년 10월,"13,500"
띵동! 당신의 눈물이 입금되었습니다,최소망,놀,2023년 05월,"15,120"
SF 보다 Vol.1 얼음,곽재식,문학과지성사,2023년 04월,"12,600"
최소한의 최선,문진영,문학동네,2023년 10월,"14,400"
마주,최은미,창비,2023년 08월,"15,120"
생의 이면,이승우,문이당,2013년 01월,"11,700"
"진이, 지니",정유정,은행나무,2019년 05월,"12,600"
가시고백,김려령,비룡소,2012년 02월,"11,700"
빛과 영원의 시계방,김희선,허블,2023년 02월,"13,500"
2023 올해의 문제소설,한국현대소설학회,푸른사상,2023년 02월,"16,650"
딸에 대하여,김혜진,민음사,2017년 09월,"12,600"
그리고 봄,조선희,한겨레출판,2023년 10월,"15,120"
오로라 2-241,한수영,바람의아이들,2022년 12월,"12,600"
제주도우다 3,현기영,창비,2023년 07월,"15,300"
삼미 슈퍼스타즈의 마지막 팬클럽,박민규,한겨레출판,2020년 12월,"12,420"
풀업,강화길,현대문학,2023년 08월,"12,600"
한국단편문학선 2,김동인,민음사,1999년 03월,"9,900"
절연,정세랑,문학동네,2022년 12월,"15,300"
한성요괴상점,기구름,CLB BOOKS,2023년 03월,"14,220"
조커와 나,김중미,창비,2013년 01월,"11,700"
GV 빌런 고태경,정대건,은행나무,2020년 04월,"12,150"
붉은 방/해변의 길손,한승원,문학사상,2001년 08월,"13,950"
딩,문진영,현대문학,2023년 04월,"11,700"
호텔 이야기,임경선,토스트,2022년 11월,"13,500"
옥상에서 만나요,정세랑,창비,2018년 11월,"13,500"
광장 / 구운몽,최인훈,문학과지성사,2008년 11월,"11,700"
"여름 너머, 여름",한윤서,메이킹북스,2022년 12월,"12,420"
토지 1,박경리,마로니에북스,2012년 08월,"12,150"
최은영 소설 3종 특별 한정 에디션,최은영,문학동네,2022년 07월,"31,500"
꿰맨 눈의 마을,조예은,자음과모음,2023년 12월,"11,700"
산산조각,정호승,시공사,2022년 04월,"14,400"
마르타의 일,박서련,한겨레출판,2019년 09월,"12,600"
직지 1,김진명,쌤앤파커스,2019년 08월,"12,600"
트렁크,김려령,창비,2015년 05월,"12,600"
어느 날 내가 죽었습니다,이경혜,바람북스,2021년 03월,"11,520"
엘리베이터에 낀 그 남자는 어떻게 되었나,김영하,복복서가,2020년 07월,"9,000"
당신 옆을 스쳐간 그 소녀의 이름은,최진영,한겨레출판,2022년 01월,"12,420"
토지 2,박경리,다산책방,2023년 06월,"15,300"
"하나의 인간, 인류의 하나",김동식,요다,2019년 03월,"11,700"
저주토끼,정보라,아작,2022년 04월,"13,320"
이 와중에 스무 살,최지연,창비교육,2022년 10월,"12,600"
산 자들,장강명,민음사,2019년 06월,"12,600"
그래스프 리플렉스,김강,아시아,2023년 02월,"13,500"
학폭교사 위광조,꿈몽글,파람북,2023년 12월,"15,300"
디 에센셜 한강,한강,문학동네,2023년 06월,"15,300"
다윈 영의 악의 기원,박지리,사계절,2016년 09월,"19,800"
봄봄 : 김유정 단편집,김유정,다림,2002년 01월,"9,000"
똑같은 얼굴,조규미,사계절,2023년 02월,"9,900"
노을 건너기,천선란,창비,2023년 08월,"9,000"
오즈의 마법사,L. 프랭크 바움,인디고(글담),2018년 01월,"13,320"
늙지 않기에 힘든 우리,정시화,하움출판사,2023년 05월,"14,400"
너의 바다가 되어,고상만,크루,2021년 10월,"13,320"
직지 2,김진명,쌤앤파커스,2019년 08월,"12,600"
바르도 1,리민,무하유,2023년 08월,"17,100"
고양이와 사막의 자매들,예소연,허블,2023년 06월,"13,500"
고양이달 세트 (일러스트 특별판),박영주,아띠봄,2021년 03월,"89,100"
너는 내 목소리를 닮았어,김서해,자이언트북스,2023년 07월,"11,520"
태백산맥 1,조정래,해냄,2020년 10월,"15,750"
사랑 후에 오는 것들 다이어리 세트,공지영,소담출판사,2005년 12월,"21,600"
아홉 켤레의 구두로 남은 사내,윤흥길,문학과지성사,2001년 02월,"11,700"
구원의 날,정해연,시공사,2023년 08월,"14,220"
오빠 새끼 잡으러 간다 ,염기원,문학세계사,2023년 02월,"13,050"
선택의 날,정해연,시공사,2023년 08월,"14,220"
동백꽃,김유정,문학과지성사,2005년 04월,"11,700"
[작가만남] 『아주 희미한 빛으로도』 최은영 소설가 북토크 티켓 with 요조 작가 (1인 입장권),최은영,문학동네,0001년 01월,"5,000"
행운이 너에게 다가오는 중,이꽃님,문학동네,2020년 11월,"12,600"
여름과 루비,박연준,은행나무,2022년 07월,"13,050"
무진기행,김승옥,문학동네,2004년 10월,"11,700"
카피캣 식당,범유진,&(앤드),2023년 01월,"12,150"
아몬드,손원평,창비,2022년 05월,"10,800"
천년의 사랑,양귀자,쓰다,2013년 04월,"13,500"
광개토태왕 담덕 4,엄광용,새움,2022년 12월,"14,400"
더블,정해연,해피북스투유,2023년 01월,"14,400"
태백산맥 세트,조정래,해냄,2020년 10월,"157,500"
탄금,장다혜,북레시피,2021년 02월,"15,300"
낙원은 창백한 손으로,박영,은행나무,2023년 08월,"15,120"
댓글부대,장강명,은행나무,2015년 11월,"10,800"
악마의 계약서는 만기 되지 않는다,리러하,팩토리나인,2022년 08월,"13,050"
무정,이광수,민음사,2010년 07월,"9,000"
소심한 사람들만 남았다,김이환,북다,2023년 06월,"12,600"
눈감지 마라,이기호,마음산책,2022년 09월,"13,500"
빛의 제국,김영하,복복서가,2022년 05월,"10,800"
그곳에 엄마가 있었어,윤정모,다산책방,2023년 07월,"15,300"
아무것도 아닌 빛,정영선,강,2023년 02월,"12,600"
베니스의 개성상인 1,오세영,문예춘추사,2023년 01월,"15,120"
봄봄,김유정,사피엔스21,2012년 02월,"6,300"
물로 씌어진 이름 1,복거일,백년동안,2023년 07월,"18,000"
룬의 아이들 - 블러디드 4,전민희,엘릭시르,2021년 04월,"13,050"
네가 있는 요일,박소영,창비,2023년 09월,"14,400"
베니스의 개성상인 2,오세영,문예춘추사,2023년 02월,"15,120"
여름이 죽었다,한지원,하움출판사,2020년 08월,"7,200"
경애의 마음,김금희,창비,2018년 06월,"14,400"
"바람이 분다, 가라",한강,문학과지성사,2010년 02월,"12,600"
까칠한 재석이 1~6권 세트,고정욱,애플북스,2020년 03월,"48,420"
김유정 소설집,김유정,피치마켓,2018년 08월,"13,500"
소설가 구보씨의 일일,박태원,문학과지성사,2005년 04월,"9,900"
타워,배명훈,문학과지성사,2020년 02월,"13,500"
이상작품집 (미니북),이상,자화상,2019년 12월,"5,310"
더 셜리 클럽,박서련,민음사,2020년 08월,"12,600"
흑산 黑山,김훈,학고재,2011년 10월,"12,420"
소설 보다 : 가을 2022,김기태,문학과지성사,2022년 09월,"3,150"
봄봄/미스터 방 외,전도현,서연비람,2018년 07월,"10,800"
두 번째 기회,권여원,에디아(Edia),2023년 11월,"10,800"
날짜 없음,장은진,민음사,2016년 11월,"12,600"
사람의 아들,이문열,알에이치코리아(RHK),2020년 04월,"14,400"
카스테라,박민규,문학동네,2005년 06월,"12,600"
청부살인 협동조합 ,김동식,요다,2022년 11월,"12,600"
전지적 독자 시점 양장본 세트 1,싱숑,비채,2022년 09월,"106,650"
한밤의 시간표,정보라,퍼플레인(갈매나무),2023년 06월,"14,220"
일주일,최진영,자음과모음,2021년 09월,"10,800"
일 퍼센트,김태호,사계절,2021년 07월,"8,100"
학교로 간 스파이,이은소,새움,2020년 08월,"15,120"
레몬,권여선,창비,2019년 04월,"14,400"
병신과 머저리,이청준,문학과지성사,2010년 07월,"11,700"
보테로 가족의 사랑 약국,이선영,클레이하우스,2022년 09월,"13,500"
영원한 유산,심윤경,문학동네,2021년 01월,"13,050"
숲의 애가,서여로,황금가지,2023년 01월,"14,220"
"리옹, 불시착",미요나,다향,2023년 11월,"8,100"
홀 The Hole,편혜영,문학과지성사,2016년 03월,"11,700"
고구려 1,김진명,이타북스,2021년 06월,"14,220"
그렇게 할 수밖에,최도담,네오픽션,2022년 12월,"12,600"
춘향전,백범영,민음사,2004년 04월,"10,800"
이것이 남자의 세상이다,천명관,예담,2016년 10월,"11,700"
태평천하,채만식,민음사,2022년 08월,"12,600"
사평역,임철우,사피엔스21,2012년 07월,"7,650"
궤변 말하기 대회,김동식,요다,2022년 07월,"11,700"
기나긴 하루,박완서,문학동네,2012년 01월,"10,800"
까칠한 재석이가 달라졌다,고정욱,애플북스,2022년 04월,"11,250"
264일의 쿠데타 1,노가원,시아컨텐츠,2017년 10월,"13,500"
고양이달 1 (일러스트 특별판),박영주,아띠봄,2021년 03월,"29,700"
서른의 반격,손원평,은행나무,2023년 06월,"11,250"
룬의 아이들 - 블러디드 3,전민희,엘릭시르,2020년 09월,"13,050"
좀비즈 어웨이,배예람,안전가옥,2022년 03월,"9,000"
가장 나쁜 일 ,김보현,민음사,2022년 07월,"13,500"
"재인, 재욱, 재훈",정세랑,은행나무,2021년 09월,"10,800"
얼마나 닮았는가,김보영,아작,2020년 10월,"13,320"
쇼코의 미소 (특별 한정 에디션),최은영,문학동네,2022년 07월,"9,900"
무궁화꽃이 피었습니다 1,김진명,이타북스,2023년 04월,"15,120"
라스팔마스는 없다,오성은,은행나무,2023년 11월,"15,120"
몽실 언니,권정생,창비,2012년 04월,"13,500"
작은 빛을 따라서,권여름,자이언트북스,2023년 10월,"14,220"
고구려 1부 : 땅을 다지다 세트,김진명,이타북스,2021년 06월,"98,100"
자두,이주혜,창비,2020년 08월,"12,600"
젊은 느티나무,강신재,문학과지성사,2007년 07월,"11,250"
기억 서점,정명섭,시공사,2021년 10월,"12,420"
마당을 나온 암탉 20주년 특별판,황선미,사계절,2020년 04월,"13,500"
연년세세 年年歲歲,황정은,창비,2020년 09월,"13,050"
초록은 어디에나,임선우,자음과모음,2023년 09월,"11,700"
그 많던 싱아는 누가 다 먹었을까,박완서,세계사,2012년 01월,"13,500"
승부 1,조세래,문예춘추사,2023년 12월,"15,120"
"몰라도 되는 마음, 땅속의 귀신들도 이미, 여름의 봄",김여진,파도,2022년 12월,"11,700"
당신의 별이 사라지던 밤,서미애,엘릭시르,2018년 02월,"12,420"
침이 고인다,김애란,문학과지성사,2007년 09월,"13,500"
프로젝트 브이 ,박서련,안전가옥,2023년 03월,"15,300"
마지막 사도 1,장용민,재담북스,2023년 01월,"14,400"
빛의 과거,은희경,문학과지성사,2019년 08월,"12,600"
토지 3,박경리,다산책방,2023년 06월,"15,300"
무림세가 천대받는 손녀 딸이 되었다 세트,마루별,연담,2023년 03월,"63,000"
"오, 사랑",조우리,사계절,2020년 08월,"10,800"
룬의 아이들 - 블러디드 1,전민희,엘릭시르,2018년 11월,"13,050"
보건교사 안은영,정세랑,민음사,2015년 12월,"11,700"
원미동 시인,양귀자,사피엔스21,2012년 02월,"7,200"
에이스와 새우깡,성승제,도서출판이곳,2023년 10월,"15,300"
제 꿈 꾸세요,김멜라,문학동네,2022년 08월,"13,050"
누구에게나 친절한 교회 오빠 강민호,이기호,문학동네,2018년 05월,"12,150"
혼불 1,최명희,매안출판사,2009년 07월,"10,450"
세상에서 가장 아름다운 이별,노희경,북로그컴퍼니,2015년 05월,"11,520"
미스 함무라비,문유석,문학동네,2016년 12월,"12,150"
광개토태왕 담덕 5,엄광용,새움,2023년 03월,"14,400"
똑산,최태영,좋은땅,2023년 11월,"14,220"
천국에서 온 탐정,이동원,스윙테일,2022년 12월,"14,220"
스노볼 2,박소영,창비,2021년 12월,"13,500"
풀이 눕는다,김사과,문학동네,2017년 08월,"11,700"
우리는 천천히 오래오래,백신애,작가정신,2022년 12월,"13,500"
마지막 사도 2,장용민,재담북스,2023년 01월,"14,400"
2022 제5회 한국과학문학상 수상작품집,서윤빈,허블,2022년 05월,"5,400"
언제나 밤인 세계,하지은,황금가지,2022년 04월,"15,120"
무궁화꽃이 피었습니다 2,김진명,이타북스,2023년 04월,"15,120"
꺼삐딴 리,전광용,사피엔스21,2014년 05월,"6,750"
천년의 금서,김진명,새움,2023년 01월,"13,950"
길모퉁이에서 만난 사람,양귀자,쓰다,2015년 02월,"10,800"
밤은 내가 가질게,안보윤,문학동네,2023년 11월,"14,400"
감꽃 길 시골하우스,이영희,델피노,2023년 11월,"15,030"
혹시 MBTI가 어떻게 되세요?,정대건,읻다,2022년 12월,"13,500"
날마다 만우절,윤성희,문학동네,2021년 07월,"13,500"
가시고기 우리 아빠,조창인,산지,2022년 02월,"15,300"
고구려 5,김진명,이타북스,2021년 06월,"14,220"
일곱 해의 마지막,김연수,문학동네,2020년 07월,"12,150"
이상한 사람들,최인호,책읽는섬,2018년 01월,"10,800"
도림천 연가 (상),이연수,타임라인,2023년 11월,"15,300"
달 드링크 서점,서동원,문학수첩,2022년 12월,"12,600"
길 없는 길 1,최인호,여백출판사,2021년 04월,"12,600"
정치인,정진영,안나푸르나,2023년 05월,"12,600"
몸과 여자들,이서수,현대문학,2022년 12월,"11,700"
스노볼 1,박소영,창비,2021년 12월,"13,500"
디디의 우산,황정은,창비,2019년 01월,"12,600"
벽사아씨전,박에스더,안전가옥,2023년 09월,"14,400"
아버지의 해방일지 (큰글자도서),정지아,창비,2022년 12월,"25,000"
최후의 경전,김진명,새움,2023년 01월,"14,850"
소설 손자병법 세트,정비석,은행나무,2002년 11월,"41,400"
클로버,나혜림,창비,2022년 09월,"12,600"
소설 보다 : 여름 2022,김지연,문학과지성사,2022년 06월,"3,150"
죽은 고양이를 태우다,김양미,문학세상,2023년 05월,"14,400"
복자에게,김금희,문학동네,2020년 09월,"12,600"
깃털,김정혜진,허블,2020년 07월,"8,550"
오발탄,이범선,문학과지성사,2007년 07월,"10,350"
토지 4,박경리,다산책방,2023년 06월,"15,300"
264일의 쿠데타 2,노가원,시아컨텐츠,2017년 10월,"13,500"
격리된 아이,김소연,우리학교,2020년 07월,"11,700"
눈으로 만든 사람,최은미,문학동네,2021년 06월,"13,320"
주먹 망원경,박종휘,arte(아르테),2023년 05월,"14,400"
광인,이혁진,민음사,2023년 11월,"17,100"
완벽한 케이크의 맛,김혜진,마음산책,2023년 05월,"13,500"
소마,채사장,웨일북,2021년 12월,"13,500"
붕대 감기,윤이형,작가정신,2020년 01월,"10,800"
그 여자네 집,박완서,문학동네,2006년 08월,"12,600"
고독사 워크숍,박지영,민음사,2022년 06월,"13,500"
우리들의 행복한 시간 ,공지영,해냄,2016년 08월,"15,120"
그해 겨울은 따뜻했네 1,박완서,세계사,2012년 01월,"13,500"
인생 연구,정지돈,창비,2023년 05월,"13,500"
룬의 아이들 - 블러디드 2,전민희,엘릭시르,2019년 09월,"13,050"
차밍스쿨,박혜영,아시아,2023년 07월,"15,300"
"땅거미 질 때 샌디에이고에서 로스앤젤레스로 운전하며 소형 디지털 녹음기에 구술한, 막연히 LA/운전 시들이라고 생각하는 작품들의 모음",정지돈,작가정신,2023년 03월,"12,600"
예수님의 폭소,최원영,좋은땅,2022년 12월,"13,500"
꺼삐딴 리,전광용,을유문화사,2009년 05월,"9,000"
칼을 품고 슬퍼하다,이상훈,여백,2023년 09월,"15,120"
바늘과 가죽의 시,구병모,현대문학,2021년 04월,"11,700"
핌·오렌지빛이랄지,이상우,민음사,2023년 11월,"15,300"
어느 날 은유가 찾아왔다,박이강,교유서가,2023년 09월,"14,400"
깊은 슬픔,신경숙,문학동네,2006년 03월,"16,200"
검은 모나리자,박찬순,강,2023년 06월,"13,500"
표백,장강명,한겨레출판,2020년 09월,"12,420"
디어 마이 송골매,이경란,교유서가,2023년 09월,"13,500"
플라멩코 추는 남자,허태연,다산책방,2021년 09월,"12,600"
아무도 아닌,황정은,문학동네,2016년 11월,"10,800"
검은 사슴,한강,문학동네,2017년 12월,"13,950"
유년의 뜰,오정희,문학과지성사,2017년 09월,"11,700"
소설 보다 : 봄 2022,김병운,문학과지성사,2022년 03월,"3,150"
타인의 집,손원평,창비,2021년 06월,"12,600"
도림천 연가 (하),이연수,타임라인,2023년 11월,"15,300"
뜨거운 피,김언수,문학동네,2016년 08월,"14,850"
김약국의 딸들,박경리,마로니에북스,2013년 03월,"13,500"
"안녕, 인공존재!",배명훈,북하우스,2020년 07월,"11,700"
짐승처럼,임솔아,현대문학,2023년 06월,"12,600"
개의 설계사,단요,아작,2023년 06월,"15,120"
별뜨기에 관하여,이영도,황금가지,2020년 10월,"15,120"
노랑무늬영원,한강,문학과지성사,2018년 11월,"12,600"
壽愛(수애) 목숨 건 사랑,한수애,새문사,2023년 02월,"17,000"
"도시, 청년, 호러",이시우,안전가옥,2022년 05월,"11,700"
선릉 산책,정용준,문학동네,2021년 10월,"12,600"
밤에 찾아오는 구원자,천선란,안전가옥,2021년 06월,"11,700"
사랑이 한 일,이승우,문학동네,2020년 11월,"12,600"
광개토태왕 담덕 7,엄광용,새움,2023년 07월,"15,120"
그해 겨울은 따뜻했네 2,박완서,세계사,2012년 01월,"13,500"
퇴마록 세계편 1,이우혁,엘릭시르,2011년 12월,"15,300"
9번의 일,김혜진,한겨레출판,2019년 10월,"12,600"
잃어버린 사람,김숨,모요사,2023년 07월,"18,000"
삼국평화고등학교 테러 사건,서귤,위즈덤하우스,2023년 06월,"15,120"
달의 바다,정한아,문학동네,2023년 06월,"13,500"
예언,김진명,새움,2022년 12월,"14,850"
고구려 4,김진명,이타북스,2021년 06월,"14,220"
김영하 소설 결정판 박스 세트 1차분,김영하,복복서가,2020년 09월,"54,000"
우아한 거짓말,김려령,창비,2014년 02월,"12,420"
김동식 소설집 박스 세트,김동식,요다,2021년 03월,"117,000"
여성작가 SF 단편모음집,김지현,온우주,2018년 03월,"13,500"
개,김훈,푸른숲,2021년 04월,"13,500"
죽음은 언제나 당신과 함께,정보라,퍼플레인(갈매나무),2023년 11월,"15,750"
빛을 걷으면 빛,성해나,문학동네,2022년 05월,"13,500"
난장이가 쏘아올린 작은 공,송기숙,가람기획,2020년 10월,"14,220"
승부 2,조세래,문예춘추사,2023년 12월,"15,120"
복길잡화점,이민혁,뜰Book,2023년 12월,"12,600"
토지 1-20권 세트,박경리,마로니에북스,2012년 08월,"243,000"
눈길,이청준,사피엔스21,2012년 02월,"7,200"
젊은 날의 초상,이문열,알에이치코리아(RHK),2020년 06월,"13,500"
"[작가만남] 『설자은, 금성으로 돌아오다』 정세랑 북토크 with 편집자K (1인 입장권)",정세랑,문학동네,0001년 01월,"5,000"
겨울 간식집,박연준,읻다,2023년 11월,"15,120"
광개토태왕 담덕 6,엄광용,새움,2023년 05월,"14,850"
바이러스 X,김진명,이타북스,2020년 11월,"14,220"
완장,윤흥길,현대문학,2011년 04월,"10,800"
하얀 늑대들 8,윤현승,제우미디어,2019년 07월,"15,120"
막 너머에 신이 있다면,김준녕,허블,2022년 08월,"14,400"
로기완을 만났다,조해진,창비,2011년 04월,"11,700"
1980년 5월 24일,조성기,한길사,2023년 03월,"14,850"
혼불 3,최명희,매안출판사,2009년 07월,"10,450"
마법소녀 은퇴합니다,박서련,창비,2022년 04월,"12,600"
유원,백온유,창비,2020년 06월,"11,700"
피해자,마동주,닥터지킬,2023년 11월,"15,120"
복수 법률 사무소 세트,도진기,황금가지,2022년 12월,"35,100"
"친애하고, 친애하는",백수린,현대문학,2019년 02월,"12,600"
누구도 울지 않는 밤,김이설,문학과지성사,2023년 03월,"14,400"
고구려 2,김진명,이타북스,2021년 06월,"14,220"
빛의 호위,조해진,창비,2017년 02월,"13,500"
반에 반의 반,천운영,문학동네,2023년 02월,"13,500"
하얀 늑대들 10,윤현승,제우미디어,2020년 02월,"15,120"
백 명 버튼,김동식,위즈덤하우스,2023년 04월,"11,700"
까칠한 재석이가 돌아왔다,고정욱,애플북스,2021년 12월,"10,800"
덕혜옹주,권비영,다산책방,2015년 10월,"12,420"
러브 알러지,박한솔,팩토리나인,2023년 04월,"13,500"
이국에서,이승우,은행나무,2022년 09월,"14,400"
천변풍경,박태원,문학과지성사,2005년 01월,"9,900"
세계는 이렇게 바뀐다,단요,사계절,2023년 09월,"13,500"
