Rank,Title,Artist,Album
1,첫 눈,EXO,겨울 스페셜 앨범 '12월의 기적 (Miracles In December)'
2,Perfect Night,LE SSERAFIM (르세라핌),Perfect Night
3,Drama,aespa,Drama - The 4th Mini Album
4,To. X,태연 (TAEYEON),To. X - The 5th Mini Album
5,화이트 (White),폴킴,화이트 (White)
6,Baddie,IVE (아이브),I'VE MINE
7,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
8,인사,범진,인사
9,헤어지자 말해요,박재정,1집 Alone
10,All I Want for Christmas Is You,Mariah Carey,Merry Christmas (Deluxe Anniversary Edition)
11,Seven (feat. Latto) - Clean Ver.,정국,Seven (feat. Latto) - Clean Ver.
12,Do or Die,임영웅,Do or Die
13,비의 랩소디,임재현,비의 랩소디
14,모래 알갱이,임영웅,모래 알갱이
15,Love Lee,AKMU (악뮤),Love Lee
16,우리들의 블루스,임영웅,IM HERO
17,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection))
18,You & Me,제니 (JENNIE),JENNIE Special Single [You & Me]
19,다시 만날 수 있을까,임영웅,IM HERO
20,에피소드,이무진,에피소드
21,Snowman,Sia,Everyday Is Christmas (Snowman Deluxe Edition)
22,Standing Next to You,정국,GOLDEN
23,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
24,크리스마스니까,성시경,Jelly Christmas 2012 HEART PROJECT
25,후라이의 꿈,AKMU (악뮤),Love Lee
26,무지개,임영웅,IM HERO
27,Santa Tell Me,Ariana Grande,Santa Tell Me
28,London Boy,임영웅,Polaroid
29,I AM,IVE (아이브),I've IVE
30,아버지,임영웅,IM HERO
31,Polaroid,임영웅,Polaroid
32,인생찬가,임영웅,IM HERO
33,Ditto,NewJeans,NewJeans 'OMG'
34,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유,Real
35,A bientot,임영웅,IM HERO
36,별 떨어진다 (I Do),디오 (D.O.),기대 - The 2nd Mini Album
37,Super Shy,NewJeans,NewJeans 2nd EP 'Get Up'
38,사막에서 꽃을 피우듯,우디 (Woody),사막에서 꽃을 피우듯
39,ETA,NewJeans,NewJeans 2nd EP 'Get Up'
40,연애편지,임영웅,IM HERO
41,Either Way,IVE (아이브),I'VE MINE
42,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)"
43,너의 모든 순간,성시경,별에서 온 그대 OST Part.7
44,Last Christmas,Ariana Grande,Christmas Kisses
45,Merry PLLIstmas,PLAVE,Merry PLLIstmas
46,Get A Guitar,RIIZE,Get A Guitar
47,"Smoke (Prod. Dynamicduo, Padi)",다이나믹 듀오,스트릿 우먼 파이터2(SWF2) 계급미션
48,사랑할 수밖에,볼빨간사춘기,Merry Go Round
49,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans'
50,Chill Kill,Red Velvet (레드벨벳),Chill Kill - The 3rd Album
51,퀸카 (Queencard),(여자)아이들,I feel
52,Discord,QWER,1st Single Album 'Harmony from Discord'
53,음악의 신,세븐틴 (SEVENTEEN),SEVENTEEN 11th Mini Album ‘SEVENTEENTH HEAVEN'
54,눈이 오잖아(Feat.헤이즈),이무진,눈이 오잖아(Feat.헤이즈)
55,Off The Record,IVE (아이브),I'VE MINE
56,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해
57,잠시라도 우리,성시경,잠시라도 우리
58,GODS,NewJeans,2023 리그 오브 레전드 월드 챔피언십 주제곡
59,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition'
60,Fast Forward,전소미,GAME PLAN
61,사랑하지 않아서 그랬어,임한별,사랑하지 않아서 그랬어
62,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙)
63,Spicy,aespa,MY WORLD - The 3rd Mini Album
64,OMG,NewJeans,NewJeans 'OMG'
65,Kitsch,IVE (아이브),I've IVE
66,봄날,방탄소년단,YOU NEVER WALK ALONE
67,심(心),DK(디셈버),심(心)
68,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌),UNFORGIVEN
69,Stay With Me (Feat. Skinny Brown),ASH ISLAND,Stay With Me
70,Dynamite,방탄소년단,Dynamite (DayTime Version)
71,Steal The Show (From “엘리멘탈”),Lauv,Steal The Show (From “엘리멘탈”)
72,취중고백,김민석,취중고백
73,"그대가 있는 곳, 언제 어디든",로이킴,로이킴 X 마이데몬
74,I Don't Think That I Like Her,Charlie Puth,CHARLIE
75,주저하는 연인들을 위해,잔나비,전설
76,그 겨울엔 네가 있어,"허용별 (허각, 신용재, 임한별)",허용별 프로젝트 #2
77,3D (feat. Jack Harlow),정국,3D (feat. Jack Harlow)
78,물론,허각,물론
79,Bubble,STAYC(스테이씨),TEENFRESH
80,LOVE DIVE,IVE (아이브),LOVE DIVE
81,Must Have Love,SG 워너비,SG워너비 & 브라운아이드걸스 싱글
82,Yes or No,정국,GOLDEN
83,After LIKE,IVE (아이브),After LIKE
84,여섯 번째 여름,PLAVE,ASTERUM : The Shape of Things to Come
85,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),부석순 1st Single Album 'SECOND WIND'
86,입술 (Feat. 10CM),헤이즈 (Heize),Last Winter
87,손오공,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
88,다정히 내 이름을 부르면,경서예지,다정히 내 이름을 부르면 (경서예지 x 전건호)
89,I Love My Body,화사 (HWASA),I Love My Body
90,Dangerously,Charlie Puth,Nine Track Mind (Deluxe Edition)
91,해요 (2022),#안녕,해요 (2022)
92,Butter,방탄소년단,Butter
93,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3
94,Attention,NewJeans,NewJeans 1st EP 'New Jeans'
95,그중에 그대를 만나,김호중,삼남매가 용감하게 OST Part.1
96,나에게 그대만이,탑현,나에게 그대만이
97,Underneath The Tree,Kelly Clarkson,Wrapped In Red (Deluxe Version)
98,MANIAC,VIVIZ (비비지),The 4th Mini Album 'VERSUS'
99,Hate You,정국,GOLDEN
100,"밤, 바다",최유리,여행: 플리(playlist) OST Part.2
